transaction_id,account_type,amount,transaction_type,status,client,timestamp
58,Credit,4500,Deposit,,John,Invalid
814,Checking,100,Deposit,Completed,Sarah,Invalid
834,Savings,3000,Transfer,Failed,Michael,Invalid
537,,4500,Transfer,Pending,Michael,
73,Checking,4500,,Pending,Alice,
885,Savings,,Transfer,Completed,,
129,Checking,,Deposit,Pending,Alice,Invalid
599,,100,,,,Invalid
842,Credit,nan,,,John,Invalid
426,Checking,3000,Withdrawal,Pending,Kim,Invalid
665,Savings,,Withdrawal,Pending,Sarah,Invalid
694,,3000,Transfer,,Michael,2025-02-01
125,,100,,Pending,Alice,Invalid
67,,,Deposit,,Sarah,2025-02-01
6,Credit,,Deposit,Failed,,Invalid
637,,nan,Deposit,Failed,Kim,
314,,3000,Transfer,Pending,Michael,
326,Savings,3000,Transfer,Pending,Michael,2025-02-01
565,Checking,3000,,Pending,,Invalid
578,Credit,nan,Deposit,,Kim,
826,,,Deposit,Failed,Michael,
506,Credit,100,Transfer,Failed,Kim,Invalid
82,,3000,Transfer,Completed,Michael,Invalid
599,Credit,4500,,Completed,John,
2,,nan,,Pending,,Invalid
204,Checking,200,Withdrawal,,Kim,
662,Checking,100,,Pending,Sarah,Invalid
805,Credit,4500,Deposit,Failed,John,
404,Savings,3000,Deposit,Pending,,
103,Credit,200,,Pending,Sarah,2025-02-01
536,,100,,Failed,,
368,Checking,nan,Withdrawal,Failed,Michael,
212,Checking,200,,Failed,,
577,Checking,,Withdrawal,Failed,Sarah,Invalid
209,Savings,200,,Completed,John,
763,Savings,4500,Deposit,,,2025-02-01
897,,100,Withdrawal,,,
117,Credit,4500,,Failed,Kim,2025-02-01
628,Credit,4500,Withdrawal,,Alice,
749,,3000,Withdrawal,,Sarah,2025-02-01
478,Checking,nan,Deposit,,Alice,Invalid
105,Savings,200,,,,Invalid
495,,100,,Failed,Sarah,Invalid
771,,,Transfer,Pending,Sarah,
46,Savings,nan,Transfer,Pending,Kim,Invalid
823,Credit,nan,Transfer,Pending,Michael,Invalid
331,Checking,100,Deposit,Completed,John,
216,Credit,nan,Withdrawal,,John,
492,,3000,,Failed,John,Invalid
813,Checking,nan,,Failed,,Invalid
845,,3000,Withdrawal,Completed,,
449,,200,,Failed,Michael,
536,Credit,200,Withdrawal,Pending,Alice,
511,Credit,4500,Deposit,Completed,John,
458,Credit,3000,Deposit,Failed,Alice,
547,Savings,,Deposit,Completed,Michael,2025-02-01
536,,200,Withdrawal,Completed,,2025-02-01
540,Checking,nan,Withdrawal,Failed,Michael,Invalid
484,Credit,100,,Pending,Kim,Invalid
16,Credit,100,,Failed,,Invalid
571,Savings,3000,,,John,2025-02-01
243,Checking,,,,,
207,,4500,,Failed,Kim,Invalid
271,,nan,Deposit,Pending,John,
761,Savings,3000,,,Michael,Invalid
779,,100,Withdrawal,,Michael,
705,,3000,Transfer,Failed,Sarah,
847,Credit,nan,Withdrawal,Failed,Sarah,2025-02-01
730,Credit,,,Failed,Michael,
115,Checking,,,Completed,Michael,
580,,200,Withdrawal,Completed,Alice,2025-02-01
299,Credit,nan,,Completed,,Invalid
837,Credit,200,Withdrawal,Failed,Alice,2025-02-01
483,Checking,200,,Pending,,
397,,200,Withdrawal,,Kim,
394,Credit,3000,,Completed,Sarah,
75,Savings,100,Transfer,Pending,Sarah,
482,Savings,,Deposit,Failed,Michael,
103,,3000,Withdrawal,Completed,Michael,
297,,100,Transfer,Failed,Kim,
178,Checking,,Deposit,Pending,,Invalid
215,Savings,nan,Withdrawal,Completed,,Invalid
315,Savings,,Transfer,Completed,,2025-02-01
39,,,Transfer,Completed,Sarah,
259,,,Transfer,Completed,Alice,Invalid
716,,4500,,Pending,,
7,,nan,,Completed,John,
49,Savings,3000,Deposit,,Kim,Invalid
538,Checking,3000,,,,2025-02-01
161,Savings,100,,Failed,John,
869,,3000,,Completed,,
176,Savings,200,Transfer,,Alice,Invalid
591,Checking,,,,Alice,
2,Credit,3000,,,,Invalid
895,Savings,100,Withdrawal,Pending,John,2025-02-01
455,,100,Transfer,Completed,Kim,
644,Credit,200,Deposit,Pending,John,2025-02-01
276,,100,Withdrawal,Pending,Kim,
498,,4500,Withdrawal,,,
629,,,Withdrawal,,Kim,
676,Savings,,,Failed,Michael,Invalid
800,,,,Completed,Sarah,2025-02-01
28,Credit,nan,Transfer,Completed,,2025-02-01
333,Checking,3000,,,Sarah,2025-02-01
1,,4500,,,Alice,
188,Savings,3000,,Completed,Michael,
56,,4500,Transfer,Failed,Sarah,
547,Checking,3000,Transfer,,,
112,Credit,200,,Failed,Kim,2025-02-01
798,,100,,Pending,Kim,
310,,100,,,John,2025-02-01
36,Checking,200,,Pending,John,2025-02-01
439,Savings,4500,Withdrawal,,Kim,Invalid
729,Credit,nan,Withdrawal,Pending,,2025-02-01
592,Checking,4500,,,Kim,
826,,100,,Failed,John,
595,Credit,nan,Deposit,Failed,Sarah,
577,,3000,Withdrawal,Failed,Alice,Invalid
325,Checking,nan,Deposit,Pending,John,Invalid
640,,4500,Deposit,Failed,,
307,,200,,Pending,Sarah,2025-02-01
534,,3000,Transfer,,Sarah,2025-02-01
728,Savings,4500,Withdrawal,Pending,Sarah,
619,,3000,,,Michael,
109,,nan,,Completed,Michael,
372,,100,Transfer,Completed,,
357,Credit,4500,Withdrawal,Completed,Sarah,
181,,200,,Pending,,
356,,nan,,Completed,Kim,2025-02-01
676,Checking,4500,,Completed,,Invalid
68,Savings,200,Deposit,Completed,Michael,
292,Credit,4500,,,John,2025-02-01
692,,nan,Withdrawal,Failed,,
181,Checking,4500,Transfer,Pending,Michael,
466,Savings,3000,,Completed,Kim,
434,Credit,nan,Withdrawal,,Alice,2025-02-01
464,Credit,4500,,Failed,,Invalid
681,,100,Deposit,Failed,Michael,
534,Credit,4500,,Failed,,
66,Checking,3000,Withdrawal,,,Invalid
21,Credit,200,Transfer,Completed,,
612,,200,Deposit,Failed,Sarah,
384,Checking,200,Deposit,,Sarah,Invalid
812,Savings,100,,,Sarah,
615,Savings,3000,Deposit,Pending,,Invalid
559,,nan,Withdrawal,,Alice,
39,,200,,Failed,Kim,
285,,3000,Deposit,Failed,,2025-02-01
822,Savings,4500,Transfer,,John,
602,Savings,100,Withdrawal,Failed,,
597,Savings,3000,Transfer,,,
785,Savings,3000,Transfer,Failed,,2025-02-01
336,Credit,nan,,Pending,,2025-02-01
188,Checking,3000,,Completed,Kim,2025-02-01
671,Checking,nan,,Pending,Alice,
243,,100,Withdrawal,Pending,,
73,Credit,100,Withdrawal,Completed,Sarah,
479,Savings,4500,,Failed,Kim,
561,Savings,nan,,Completed,John,
101,,nan,,,Sarah,2025-02-01
514,,200,Withdrawal,Completed,John,Invalid
756,,200,,Pending,Michael,
176,Savings,4500,Withdrawal,Completed,John,Invalid
238,,100,,Failed,Sarah,
59,Credit,,,Pending,Michael,
865,Checking,200,,,Sarah,
99,Savings,3000,,Failed,,
871,Credit,100,,Pending,Sarah,Invalid
495,Savings,,,,Michael,
514,,3000,,Failed,John,
755,,nan,Withdrawal,,,Invalid
297,,100,Transfer,Completed,Alice,
211,Checking,4500,,Completed,Alice,
123,,nan,Withdrawal,,Alice,Invalid
229,Savings,nan,Withdrawal,Completed,Alice,Invalid
594,,3000,Deposit,,Kim,2025-02-01
656,Savings,nan,,Failed,Alice,2025-02-01
388,Checking,200,Withdrawal,Pending,Michael,Invalid
140,,100,Deposit,,,Invalid
541,,200,,Pending,Alice,2025-02-01
391,,3000,,Pending,Sarah,
270,,,Deposit,,,
759,,3000,,Completed,Alice,
12,,100,Transfer,Failed,,
867,,nan,Transfer,Pending,John,Invalid
389,Savings,4500,Transfer,Failed,Michael,
337,Checking,3000,Transfer,Pending,Michael,2025-02-01
506,,100,Withdrawal,,,
106,Savings,4500,Transfer,Completed,,
32,,nan,Withdrawal,Failed,Kim,
74,Savings,,Withdrawal,Pending,Sarah,2025-02-01
171,,3000,,,,
849,,,Withdrawal,,Michael,2025-02-01
69,,100,Withdrawal,Pending,John,Invalid
813,,,Transfer,Pending,Alice,
362,Credit,,Withdrawal,Pending,Michael,2025-02-01
649,Savings,100,,Completed,John,Invalid
433,Credit,100,Transfer,Pending,Alice,Invalid
100,Savings,3000,Deposit,Pending,Kim,Invalid
658,Checking,,Transfer,Completed,Michael,
9,,4500,Withdrawal,,Michael,
574,Checking,100,,Pending,,
697,Checking,nan,Transfer,Failed,,
29,Savings,,,,John,Invalid
893,Credit,100,Deposit,Failed,,
114,,4500,Deposit,Pending,,
462,Savings,3000,,Completed,Sarah,
143,,,,Completed,Kim,2025-02-01
390,Checking,100,Transfer,Completed,Sarah,
632,,100,,Pending,Michael,Invalid
682,Credit,nan,,Pending,Sarah,Invalid
157,Savings,nan,,Failed,Alice,
335,Credit,,,Completed,Kim,
861,Credit,100,,Pending,Sarah,Invalid
260,Savings,,,,Alice,Invalid
82,Credit,100,,Pending,John,
754,,nan,Withdrawal,Pending,Sarah,
441,,4500,Withdrawal,,Kim,Invalid
172,,200,,Completed,Alice,
231,,200,,,Sarah,
720,Credit,100,Transfer,Completed,John,
75,Savings,nan,Deposit,,Sarah,2025-02-01
270,Savings,3000,Withdrawal,Failed,Alice,
899,,3000,,Completed,Sarah,Invalid
626,Savings,200,Deposit,Pending,Kim,2025-02-01
62,,4500,Withdrawal,Failed,Michael,
874,Credit,200,Transfer,Completed,Alice,2025-02-01
320,Savings,100,,Completed,Alice,Invalid
102,Savings,4500,,Completed,Alice,Invalid
429,Checking,3000,Transfer,,Alice,
874,Checking,nan,Withdrawal,Completed,Sarah,
722,Checking,nan,,Pending,Kim,
255,Credit,100,Deposit,Completed,John,2025-02-01
532,,200,,Pending,Kim,
570,,100,Withdrawal,Pending,Alice,2025-02-01
112,,nan,,Pending,,Invalid
313,Credit,3000,,Failed,Sarah,Invalid
461,Credit,nan,Transfer,Pending,,Invalid
708,Checking,4500,,,Sarah,Invalid
887,Savings,,Deposit,Completed,Alice,Invalid
462,,nan,Withdrawal,,Sarah,2025-02-01
865,,nan,Deposit,Failed,Alice,Invalid
92,Savings,,,Completed,Kim,2025-02-01
52,Checking,4500,Transfer,Pending,,Invalid
805,Savings,200,Transfer,Completed,Michael,2025-02-01
520,Savings,nan,Deposit,Failed,Sarah,2025-02-01
812,,100,,Failed,Alice,2025-02-01
98,Checking,nan,,,,
236,Credit,100,Transfer,Completed,Alice,2025-02-01
374,,4500,Deposit,Completed,,2025-02-01
581,Credit,nan,Deposit,Completed,Sarah,Invalid
557,Checking,4500,Deposit,,John,2025-02-01
649,Savings,4500,,Failed,,2025-02-01
234,,200,,Pending,Alice,
32,,nan,,Completed,Sarah,
289,Checking,100,,,Alice,
638,,100,Withdrawal,,John,Invalid
579,Credit,nan,,Pending,Michael,
542,,,Deposit,Failed,,
114,Checking,200,,Completed,,
204,Checking,200,Deposit,Completed,John,
29,Credit,200,Transfer,,Kim,
643,,100,Deposit,Failed,Sarah,2025-02-01
474,,4500,,Completed,John,
697,Savings,,,Pending,Michael,
253,,200,Deposit,Failed,Alice,
798,Checking,100,Withdrawal,Failed,Sarah,Invalid
386,Savings,100,Transfer,,,Invalid
62,Checking,4500,Withdrawal,,John,Invalid
515,Savings,nan,Withdrawal,Completed,Michael,Invalid
430,,nan,Withdrawal,,John,
580,Savings,200,Transfer,Failed,Kim,Invalid
537,Checking,200,Transfer,Completed,,
691,,,Transfer,Completed,,2025-02-01
141,Checking,4500,Transfer,Failed,Sarah,
743,Credit,200,Withdrawal,Completed,Alice,Invalid
300,Credit,4500,,Pending,Michael,
675,Credit,100,,Pending,John,Invalid
311,Credit,200,Transfer,Completed,Sarah,
471,,100,,,John,Invalid
393,,3000,Deposit,Pending,Sarah,2025-02-01
642,,4500,,Completed,,Invalid
445,Checking,3000,,Pending,Kim,
758,Savings,200,,,John,
809,Checking,100,,Failed,Kim,
172,Checking,200,Deposit,Completed,,
576,Checking,3000,,Completed,,
31,Checking,200,Transfer,Completed,,2025-02-01
47,,,,Completed,Michael,
130,Savings,nan,Transfer,Completed,Kim,2025-02-01
352,Checking,3000,Transfer,Completed,Sarah,
845,,200,,,Michael,
622,Checking,100,Transfer,Failed,John,2025-02-01
581,Credit,200,Deposit,,John,
58,Checking,100,Transfer,,Sarah,
106,Checking,nan,,Failed,Alice,2025-02-01
812,,200,Transfer,,Alice,Invalid
330,Credit,nan,,Pending,John,2025-02-01
768,Savings,3000,,,,
824,Checking,100,,Completed,,
683,Savings,,Withdrawal,Pending,Sarah,Invalid
383,Credit,3000,,Pending,Alice,
162,Checking,100,,Failed,Kim,Invalid
286,,nan,Withdrawal,,John,
71,,4500,,,,Invalid
767,,200,,Pending,Kim,2025-02-01
454,,nan,,,Sarah,Invalid
886,,100,,,,Invalid
567,,100,Withdrawal,Failed,Kim,Invalid
835,,100,,Pending,Alice,
397,Checking,100,Transfer,Completed,,
515,Savings,200,Deposit,Pending,Alice,2025-02-01
26,Savings,3000,,Failed,,
313,,,Transfer,Failed,Michael,
126,,4500,,Failed,,2025-02-01
408,Credit,200,Transfer,,John,
565,,100,Transfer,Pending,,Invalid
198,,200,,,Sarah,
811,,nan,Withdrawal,,John,
188,Checking,,,Pending,Kim,Invalid
698,Checking,100,,Failed,,
817,Savings,4500,Transfer,Completed,Sarah,Invalid
810,Savings,100,Deposit,Completed,Sarah,2025-02-01
716,Credit,,Transfer,Pending,Alice,Invalid
484,Credit,4500,,Pending,Kim,
450,Credit,,,Failed,Alice,
523,Credit,4500,,Pending,Alice,
871,,3000,Withdrawal,Pending,,Invalid
354,,3000,Transfer,Failed,Michael,2025-02-01
658,Savings,200,Withdrawal,Failed,Alice,
597,Checking,200,,,John,
100,Checking,4500,Transfer,Pending,Sarah,Invalid
616,,100,Transfer,Completed,,2025-02-01
558,,nan,,Pending,Alice,2025-02-01
556,Credit,nan,,Completed,,
278,Credit,100,Deposit,Completed,John,
693,,100,,Completed,Kim,
699,Checking,3000,Transfer,,Sarah,2025-02-01
626,Credit,nan,,Failed,,
491,Checking,4500,Deposit,Failed,,2025-02-01
255,,,,,,2025-02-01
381,Checking,200,,Failed,,Invalid
892,Checking,,Transfer,,,
542,Checking,3000,,Pending,Kim,2025-02-01
264,Credit,nan,Transfer,,,
610,Savings,100,,Failed,John,
825,,nan,Transfer,Failed,,
879,Checking,4500,,Pending,Kim,
329,Checking,3000,,,,
115,Checking,100,Deposit,Pending,,2025-02-01
276,Savings,,,Completed,Kim,Invalid
488,,4500,Deposit,,Kim,2025-02-01
281,Credit,,Withdrawal,Pending,Alice,
275,Savings,200,,Pending,Alice,2025-02-01
773,Checking,3000,,Failed,Alice,2025-02-01
843,Savings,4500,Deposit,,,
719,Savings,4500,Deposit,Completed,Sarah,
896,Savings,,Withdrawal,Completed,John,2025-02-01
328,,100,Deposit,,,2025-02-01
211,,200,Transfer,,,2025-02-01
727,Credit,,,Pending,Alice,
552,,4500,Deposit,Failed,Kim,2025-02-01
26,,3000,Deposit,Failed,,
27,,4500,Withdrawal,Failed,Kim,Invalid
702,,nan,Transfer,,,
83,Savings,3000,Deposit,Failed,Kim,2025-02-01
896,Savings,3000,,Pending,Kim,Invalid
682,Checking,4500,,,Michael,
413,,100,Deposit,,Sarah,
167,Checking,3000,Transfer,Failed,John,
700,Credit,nan,,Completed,John,Invalid
169,Savings,,,Completed,Alice,
801,Credit,100,Transfer,Pending,Michael,Invalid
229,,100,Transfer,Failed,,
609,Savings,100,Deposit,Failed,,
367,Credit,3000,,,John,2025-02-01
528,,100,Withdrawal,,Sarah,
791,Credit,4500,,Failed,Kim,Invalid
647,,100,,,,Invalid
538,,nan,,Failed,Alice,
864,Savings,200,Transfer,Pending,Sarah,
524,Checking,nan,,,John,Invalid
72,,3000,Withdrawal,Failed,Michael,
645,,100,Deposit,,Alice,
106,Savings,100,Withdrawal,Pending,John,2025-02-01
732,Checking,4500,,,,Invalid
885,,,,Failed,Alice,2025-02-01
689,,100,,,John,Invalid
282,Checking,nan,,,,2025-02-01
133,Credit,3000,,Failed,,
534,Savings,200,Deposit,Completed,,Invalid
269,Checking,100,,,Kim,
412,,200,,,Michael,
673,,100,Transfer,Pending,Kim,Invalid
619,,3000,,Completed,John,
791,,,,Pending,,2025-02-01
865,Savings,nan,,Failed,Sarah,
747,,3000,Deposit,Failed,,Invalid
18,Checking,200,Withdrawal,Pending,,
754,,100,,,,2025-02-01
