sale_id,product,unit_price,quantity,region,sales_person,date,total_price
682,Headphones,50.0,4,Nairobi,Mary,2025-01-05,200.0
476,Headphones,50.0,3,Nairobi,,,150.0
700,Camera,500.0,,Mombasa,Susan,,
783,Camera,,3,Kisumu,,,
190,,2000.0,3,,James,,6000.0
687,Phone,100.0,1,Nairobi,Brian,,100.0
563,Laptop,500.0,4,Mombasa,James,2025-01-05,2000.0
567,Headphones,100.0,5,,Mary,,500.0
244,,,2,,Brian,2025-01-01,
505,Phone,1200.0,2,Nairobi,,,2400.0
131,Laptop,1200.0,3,Nairobi,James,2025-01-05,3600.0
485,,2000.0,4,Mombasa,Kelvin,,8000.0
647,Tablet,,,Kisumu,Susan,,
21,Camera,500.0,1,Nairobi,Susan,,500.0
167,,2000.0,4,,Kelvin,2025-01-05,8000.0
274,Laptop,,4,Nairobi,Mary,Not Available,
388,,150.0,1,,Brian,,150.0
601,Tablet,50.0,3,,Susan,2025-01-01,150.0
316,,2000.0,4,,Kelvin,2025-01-05,8000.0
14,Laptop,2000.0,2,Nakuru,,,4000.0
242,,500.0,1,Nakuru,Kelvin,,500.0
777,Camera,100.0,,,Mary,2025-01-01,
346,Camera,150.0,5,Kisumu,Mary,,750.0
565,Phone,500.0,3,Nairobi,James,2025-01-05,1500.0
340,,,1,Nairobi,Susan,2025-01-01,
92,Headphones,,5,Nakuru,James,,
367,,,5,,Kelvin,2025-01-05,
455,,,,Nairobi,Brian,,
428,Laptop,100.0,4,Nairobi,Brian,2025-01-05,400.0
509,Laptop,150.0,,Kisumu,Mary,Not Available,
776,,1200.0,4,Mombasa,Brian,2025-01-05,4800.0
35,,50.0,4,Nakuru,Brian,Not Available,200.0
206,,100.0,1,Nakuru,Brian,2025-01-05,100.0
81,Tablet,100.0,1,Mombasa,Kelvin,Not Available,100.0
562,,1200.0,3,Nairobi,Brian,,3600.0
388,Camera,1200.0,4,Kisumu,,,4800.0
2,,50.0,5,Kisumu,Brian,Not Available,250.0
390,Laptop,50.0,2,Nakuru,Brian,Not Available,100.0
566,Camera,1200.0,3,Kisumu,James,,3600.0
106,Laptop,,1,,Kelvin,Not Available,
772,Phone,100.0,,Mombasa,Mary,2025-01-01,
477,Headphones,500.0,3,Nairobi,James,,1500.0
703,Laptop,50.0,3,,Susan,2025-01-01,150.0
402,Camera,50.0,3,Mombasa,Kelvin,,150.0
730,Phone,1200.0,3,,,Not Available,3600.0
556,Laptop,150.0,2,Nakuru,Kelvin,2025-01-01,300.0
162,Tablet,500.0,,Kisumu,Susan,Not Available,
202,,500.0,,,Susan,,
270,Headphones,50.0,,Kisumu,Susan,Not Available,
271,Laptop,,4,,Mary,2025-01-01,
456,Phone,150.0,5,Nairobi,Brian,2025-01-01,750.0
462,Tablet,500.0,,Nairobi,Kelvin,Not Available,
727,,50.0,3,Nairobi,Brian,2025-01-05,150.0
252,Phone,500.0,3,Kisumu,Brian,,1500.0
702,,2000.0,,,,,
296,Phone,150.0,,Nairobi,Susan,Not Available,
725,Tablet,150.0,3,,Mary,2025-01-05,450.0
720,Phone,2000.0,4,Kisumu,,2025-01-01,8000.0
749,Tablet,100.0,1,,James,,100.0
338,Laptop,2000.0,1,,Mary,,2000.0
53,Tablet,1200.0,,,Brian,Not Available,
792,Tablet,1200.0,2,Kisumu,Mary,2025-01-05,2400.0
217,Headphones,50.0,,Kisumu,Susan,2025-01-05,
764,Tablet,150.0,,Nakuru,James,,
188,Tablet,100.0,1,Kisumu,Susan,2025-01-01,100.0
380,,100.0,3,Kisumu,James,2025-01-05,300.0
493,Laptop,500.0,,Mombasa,,,
41,,500.0,3,Nairobi,Brian,2025-01-01,1500.0
157,Headphones,2000.0,3,Nakuru,James,2025-01-01,6000.0
15,,100.0,2,Nakuru,James,Not Available,200.0
65,Camera,2000.0,3,Nakuru,James,2025-01-05,6000.0
521,Laptop,2000.0,1,Mombasa,Mary,Not Available,2000.0
344,Laptop,500.0,4,,,2025-01-05,2000.0
129,Camera,150.0,4,Kisumu,Mary,,600.0
648,,2000.0,5,Nairobi,Brian,Not Available,10000.0
472,Tablet,,,,James,Not Available,
63,,150.0,1,,,,150.0
139,Phone,100.0,3,Kisumu,,Not Available,300.0
499,Headphones,100.0,4,Mombasa,Kelvin,2025-01-05,400.0
593,Phone,2000.0,1,Kisumu,Brian,,2000.0
392,Camera,150.0,4,Kisumu,,Not Available,600.0
675,Laptop,500.0,3,Mombasa,James,Not Available,1500.0
419,,500.0,4,Nakuru,James,,2000.0
289,Laptop,1200.0,,Nakuru,,Not Available,
379,Headphones,100.0,,Nairobi,Mary,2025-01-01,
773,Laptop,50.0,5,Nairobi,Brian,,250.0
490,Laptop,1200.0,5,Nakuru,James,2025-01-01,6000.0
231,Headphones,500.0,4,,,,2000.0
41,,150.0,1,,James,,150.0
28,,500.0,,Kisumu,,Not Available,
135,Headphones,150.0,1,,Brian,Not Available,150.0
201,,1200.0,1,Kisumu,,Not Available,1200.0
780,Camera,100.0,4,Nakuru,Kelvin,,400.0
33,Laptop,500.0,1,Nairobi,,Not Available,500.0
48,,2000.0,,,,2025-01-01,
503,Laptop,150.0,3,Nairobi,Brian,Not Available,450.0
407,Camera,100.0,5,,,,500.0
574,,50.0,3,Nairobi,Brian,2025-01-01,150.0
728,,150.0,1,Nakuru,Kelvin,Not Available,150.0
99,Tablet,1200.0,3,,Brian,Not Available,3600.0
684,Tablet,50.0,,,James,2025-01-05,
726,Tablet,50.0,,,Brian,,
547,,,1,Kisumu,Kelvin,2025-01-01,
739,,500.0,4,Nairobi,Susan,2025-01-05,2000.0
613,Camera,150.0,3,,,,450.0
462,Laptop,50.0,4,Mombasa,Brian,,200.0
643,Camera,,4,Nairobi,,2025-01-01,
769,Camera,1200.0,2,Kisumu,Mary,Not Available,2400.0
5,,100.0,1,,James,2025-01-01,100.0
218,Tablet,2000.0,5,,James,Not Available,10000.0
503,Phone,2000.0,,Kisumu,Mary,,
767,Laptop,150.0,,Mombasa,Mary,Not Available,
398,,50.0,1,,Brian,,50.0
795,Tablet,2000.0,5,Nakuru,Mary,Not Available,10000.0
393,,500.0,,Nairobi,Susan,,
207,Phone,2000.0,1,,,,2000.0
15,Phone,2000.0,,Nakuru,,,
554,,2000.0,4,,Kelvin,2025-01-01,8000.0
461,Headphones,,3,,Mary,,
691,Laptop,50.0,3,Kisumu,Mary,,150.0
575,Phone,500.0,,,Susan,2025-01-05,
743,,50.0,2,,James,2025-01-05,100.0
241,,150.0,5,Nakuru,James,2025-01-05,750.0
564,Tablet,150.0,5,,,Not Available,750.0
96,,150.0,5,Mombasa,,2025-01-05,750.0
734,Headphones,1200.0,4,Mombasa,Brian,,4800.0
485,Laptop,2000.0,5,Nairobi,Susan,Not Available,10000.0
407,Camera,1200.0,3,Nairobi,Kelvin,,3600.0
231,,,4,Mombasa,Kelvin,2025-01-01,
749,,150.0,1,,Susan,2025-01-05,150.0
655,Tablet,500.0,5,,Kelvin,,2500.0
171,Phone,50.0,5,Mombasa,James,,250.0
541,Phone,2000.0,1,Nairobi,Kelvin,2025-01-01,2000.0
36,Tablet,100.0,5,Mombasa,Kelvin,,500.0
525,,500.0,1,,Susan,2025-01-01,500.0
160,Phone,2000.0,4,Mombasa,Susan,2025-01-05,8000.0
699,Headphones,1200.0,3,,Kelvin,,3600.0
243,Laptop,1200.0,1,Nakuru,Mary,2025-01-01,1200.0
86,,500.0,2,,Susan,,1000.0
796,,1200.0,1,Nairobi,Brian,2025-01-05,1200.0
578,Headphones,150.0,5,,Brian,2025-01-05,750.0
682,Phone,,4,Mombasa,James,,
557,,50.0,,Mombasa,Kelvin,,
574,Camera,,4,Nakuru,Mary,2025-01-01,
646,Laptop,2000.0,,Nairobi,James,Not Available,
796,Laptop,50.0,1,Nairobi,Kelvin,2025-01-05,50.0
28,,50.0,3,Kisumu,Susan,2025-01-01,150.0
620,Tablet,,2,Nairobi,Brian,,
556,,500.0,4,Nakuru,,2025-01-01,2000.0
340,Tablet,50.0,5,Kisumu,Mary,,250.0
798,,,,Kisumu,,,
331,Camera,50.0,5,Mombasa,Brian,,250.0
640,,100.0,3,Mombasa,,,300.0
506,Laptop,500.0,,Nairobi,Susan,,
348,,150.0,4,Kisumu,Kelvin,Not Available,600.0
473,Camera,50.0,1,Mombasa,Susan,,50.0
231,Tablet,100.0,5,Nakuru,,2025-01-05,500.0
190,Tablet,150.0,3,Mombasa,Susan,2025-01-05,450.0
225,Laptop,150.0,4,,Brian,2025-01-01,600.0
385,Headphones,2000.0,4,,Mary,Not Available,8000.0
377,,50.0,4,Mombasa,Susan,2025-01-01,200.0
283,Phone,,4,Kisumu,Brian,2025-01-05,
633,Tablet,50.0,,Kisumu,Mary,2025-01-05,
628,,100.0,4,,Kelvin,,400.0
745,,150.0,5,,,,750.0
259,Tablet,50.0,3,Nakuru,Kelvin,2025-01-05,150.0
359,Headphones,,,Kisumu,James,2025-01-01,
710,Headphones,2000.0,4,Nairobi,Brian,2025-01-01,8000.0
456,Camera,50.0,2,,Mary,,100.0
411,,500.0,2,Nakuru,Susan,,1000.0
649,Camera,2000.0,3,Nakuru,Kelvin,,6000.0
318,,,1,Kisumu,Mary,Not Available,
677,,100.0,1,Nakuru,Brian,2025-01-01,100.0
225,,150.0,,Kisumu,James,,
234,Phone,50.0,,Mombasa,Kelvin,2025-01-01,
684,,,,,,,
664,Phone,2000.0,1,,Mary,2025-01-05,2000.0
374,,500.0,2,Mombasa,,2025-01-01,1000.0
672,Laptop,,1,,Mary,2025-01-05,
608,,1200.0,5,Kisumu,Mary,2025-01-01,6000.0
472,Camera,500.0,4,,Brian,Not Available,2000.0
233,Tablet,2000.0,,Kisumu,Brian,,
692,Camera,100.0,2,Mombasa,Brian,2025-01-05,200.0
113,Tablet,150.0,3,Nairobi,Susan,,450.0
497,Headphones,2000.0,3,Nairobi,Mary,Not Available,6000.0
442,Camera,100.0,4,,Kelvin,2025-01-01,400.0
564,Headphones,50.0,2,Nairobi,,2025-01-05,100.0
268,Phone,,1,Kisumu,Brian,2025-01-01,
510,Phone,1200.0,1,Nakuru,Brian,2025-01-01,1200.0
386,Laptop,500.0,5,Kisumu,,2025-01-01,2500.0
387,,500.0,5,Nakuru,,,2500.0
113,Camera,,1,Mombasa,Mary,,
613,Headphones,1200.0,3,,Brian,,3600.0
625,Tablet,,,Nakuru,,2025-01-05,
81,Phone,50.0,3,Nairobi,Susan,Not Available,150.0
699,,100.0,5,Kisumu,Susan,Not Available,500.0
113,Phone,2000.0,4,Mombasa,Brian,Not Available,8000.0
2,Tablet,500.0,1,Nairobi,,2025-01-01,500.0
642,,50.0,5,Mombasa,Mary,,250.0
220,,100.0,5,,Mary,2025-01-05,500.0
566,Headphones,50.0,,Kisumu,Mary,2025-01-01,
736,Headphones,1200.0,1,,James,,1200.0
225,Camera,500.0,,Kisumu,Brian,,
385,Camera,2000.0,1,,Mary,2025-01-05,2000.0
403,,,,Kisumu,Susan,2025-01-05,
638,,,3,,,2025-01-05,
130,Laptop,100.0,4,Nakuru,Kelvin,2025-01-01,400.0
53,Phone,2000.0,4,Mombasa,Kelvin,,8000.0
684,Camera,150.0,1,,Mary,2025-01-05,150.0
730,Headphones,1200.0,2,Nairobi,Kelvin,,2400.0
672,Tablet,100.0,5,,Kelvin,2025-01-01,500.0
710,Headphones,150.0,5,Nakuru,James,,750.0
416,Phone,50.0,1,Nairobi,Susan,Not Available,50.0
247,,1200.0,,Nairobi,Susan,,
439,Headphones,50.0,2,,James,2025-01-05,100.0
203,Laptop,2000.0,3,Nakuru,James,2025-01-01,6000.0
184,Phone,500.0,,Nairobi,Kelvin,2025-01-05,
123,,1200.0,,Nairobi,Brian,Not Available,
401,Tablet,150.0,1,Nakuru,,2025-01-05,150.0
767,,500.0,1,Kisumu,,2025-01-05,500.0
294,,,5,Nairobi,Kelvin,2025-01-05,
280,Laptop,150.0,1,Mombasa,,,150.0
610,Phone,100.0,1,Nakuru,James,Not Available,100.0
198,Tablet,,1,Nairobi,Susan,2025-01-05,
511,Laptop,,5,,,2025-01-05,
752,,100.0,3,,Kelvin,2025-01-05,300.0
144,Laptop,1200.0,3,Mombasa,Brian,2025-01-01,3600.0
609,Phone,,1,,Kelvin,,
201,Camera,2000.0,5,,Mary,2025-01-01,10000.0
124,Laptop,150.0,3,Nairobi,Kelvin,,450.0
187,,500.0,,Mombasa,James,2025-01-05,
326,Laptop,,3,Mombasa,Susan,Not Available,
464,,150.0,3,Kisumu,Susan,,450.0
349,,50.0,5,,,,250.0
771,Tablet,150.0,,Mombasa,James,2025-01-05,
660,,500.0,5,Kisumu,Mary,2025-01-01,2500.0
764,Headphones,150.0,1,Nakuru,James,Not Available,150.0
403,Phone,100.0,4,Kisumu,Kelvin,,400.0
346,Phone,500.0,3,,James,2025-01-05,1500.0
511,Camera,1200.0,4,Nairobi,James,Not Available,4800.0
147,Camera,50.0,5,Nakuru,Mary,Not Available,250.0
148,Phone,100.0,5,Nakuru,Kelvin,,500.0
711,,1200.0,5,,Brian,Not Available,6000.0
489,Camera,150.0,4,Kisumu,Brian,2025-01-01,600.0
640,Tablet,500.0,5,Nairobi,Susan,2025-01-01,2500.0
551,,50.0,1,Kisumu,,2025-01-01,50.0
338,Phone,100.0,5,Mombasa,James,Not Available,500.0
641,Camera,1200.0,2,Kisumu,Susan,2025-01-01,2400.0
779,Phone,1200.0,4,Nakuru,Mary,,4800.0
473,Headphones,50.0,2,Nairobi,Brian,Not Available,100.0
151,Laptop,2000.0,5,Kisumu,James,,10000.0
415,,150.0,1,Nairobi,Mary,Not Available,150.0
298,Phone,50.0,3,Nairobi,,,150.0
611,Laptop,1200.0,,Mombasa,Mary,,
263,Camera,,,Mombasa,James,Not Available,
764,Laptop,100.0,5,Nakuru,,2025-01-01,500.0
144,,50.0,1,,Mary,2025-01-05,50.0
346,Phone,2000.0,4,Nairobi,,2025-01-05,8000.0
624,Headphones,1200.0,2,,James,2025-01-01,2400.0
572,,150.0,2,Nakuru,James,2025-01-05,300.0
2,Camera,1200.0,2,Nairobi,,2025-01-05,2400.0
304,Phone,150.0,4,Nairobi,Kelvin,2025-01-01,600.0
254,,50.0,,,Susan,2025-01-01,
652,Camera,150.0,1,,Mary,Not Available,150.0
453,Tablet,500.0,4,Kisumu,Mary,Not Available,2000.0
37,Laptop,500.0,2,Mombasa,Kelvin,2025-01-01,1000.0
160,,500.0,5,Kisumu,Kelvin,,2500.0
9,,2000.0,3,,Kelvin,2025-01-05,6000.0
233,Tablet,2000.0,4,Mombasa,Brian,Not Available,8000.0
99,Phone,,4,Kisumu,Brian,2025-01-05,
659,Headphones,2000.0,1,,,,2000.0
208,Camera,50.0,1,Mombasa,Brian,2025-01-01,50.0
131,Laptop,1200.0,4,Nairobi,James,,4800.0
404,Camera,1200.0,2,Kisumu,,,2400.0
152,,,3,Mombasa,Mary,,
54,Phone,2000.0,1,,Susan,,2000.0
120,Camera,150.0,2,Mombasa,James,2025-01-01,300.0
673,Laptop,,5,Mombasa,Mary,Not Available,
628,Phone,150.0,1,,Mary,2025-01-01,150.0
587,Camera,150.0,2,Kisumu,,Not Available,300.0
625,Headphones,100.0,2,Nakuru,Kelvin,,200.0
420,,1200.0,3,Kisumu,Kelvin,,3600.0
422,Phone,500.0,3,,James,,1500.0
104,,2000.0,5,,Kelvin,Not Available,10000.0
254,Phone,150.0,2,Kisumu,Mary,,300.0
227,Headphones,100.0,,Mombasa,Kelvin,2025-01-05,
112,,1200.0,2,,Brian,,2400.0
510,Tablet,500.0,3,Nairobi,Kelvin,2025-01-01,1500.0
473,Laptop,150.0,,Kisumu,Mary,,
99,Tablet,150.0,1,,,2025-01-05,150.0
153,Camera,,1,Kisumu,James,Not Available,
338,Headphones,,4,,Susan,2025-01-01,
706,Tablet,1200.0,3,Mombasa,Kelvin,2025-01-01,3600.0
163,Phone,500.0,4,Nairobi,Mary,Not Available,2000.0
720,Camera,150.0,,Nairobi,Susan,,
681,Camera,1200.0,3,,Susan,,3600.0
161,Tablet,1200.0,5,,Brian,,6000.0
580,Tablet,50.0,2,Kisumu,Susan,2025-01-05,100.0
398,Headphones,2000.0,5,Nairobi,,,10000.0
277,Laptop,,,Nairobi,Mary,,
504,Tablet,500.0,3,Nakuru,Mary,Not Available,1500.0
392,,150.0,,Nakuru,Kelvin,2025-01-05,
135,Tablet,1200.0,2,Nairobi,Kelvin,2025-01-05,2400.0
195,,150.0,1,,Kelvin,2025-01-05,150.0
401,Phone,50.0,1,,,,50.0
640,,500.0,,Nairobi,Susan,2025-01-01,
33,,1200.0,4,Mombasa,Susan,,4800.0
688,,150.0,3,Kisumu,Brian,,450.0
460,,,3,,,2025-01-01,
470,Camera,2000.0,1,Mombasa,Kelvin,,2000.0
375,Laptop,50.0,5,,James,2025-01-01,250.0
22,Phone,500.0,2,Mombasa,Brian,,1000.0
750,Headphones,50.0,5,Kisumu,James,2025-01-05,250.0
670,,,5,Kisumu,Susan,Not Available,
38,Headphones,500.0,,Nakuru,Brian,2025-01-05,
230,Tablet,50.0,1,,Brian,,50.0
365,Tablet,100.0,1,Mombasa,Mary,2025-01-01,100.0
563,Headphones,,1,Nakuru,Susan,2025-01-05,
438,Tablet,,,Mombasa,Susan,,
776,Laptop,,4,Nakuru,,,
283,,100.0,5,Kisumu,Brian,Not Available,500.0
27,Tablet,100.0,,,Susan,2025-01-05,
226,Camera,150.0,3,Nakuru,Brian,2025-01-01,450.0
277,Tablet,1200.0,2,Mombasa,,,2400.0
798,Phone,2000.0,4,Mombasa,,,8000.0
609,Laptop,50.0,3,,Mary,Not Available,150.0
284,Phone,150.0,5,Kisumu,Brian,2025-01-01,750.0
481,Phone,50.0,1,Mombasa,Susan,,50.0
453,Camera,2000.0,5,Nairobi,Susan,,10000.0
659,Laptop,1200.0,,,Brian,2025-01-05,
516,Laptop,100.0,2,Nakuru,Brian,2025-01-05,200.0
547,Laptop,1200.0,,,Brian,2025-01-01,
192,Laptop,100.0,4,,Kelvin,,400.0
49,Laptop,2000.0,4,Kisumu,Susan,2025-01-05,8000.0
512,Camera,1200.0,2,,,Not Available,2400.0
17,Tablet,150.0,3,Nakuru,Susan,Not Available,450.0
172,Phone,500.0,3,Nakuru,Kelvin,,1500.0
220,Laptop,150.0,4,Nairobi,Brian,2025-01-05,600.0
158,,50.0,4,Kisumu,Mary,2025-01-01,200.0
477,Tablet,150.0,1,,Brian,2025-01-01,150.0
46,Tablet,2000.0,3,,Brian,2025-01-01,6000.0
373,Phone,,2,Mombasa,Kelvin,Not Available,
518,Camera,50.0,3,Nairobi,Susan,2025-01-05,150.0
99,Headphones,1200.0,1,Nairobi,Brian,2025-01-05,1200.0
745,Headphones,50.0,,,Susan,Not Available,
37,Tablet,500.0,4,,James,2025-01-01,2000.0
280,,100.0,4,,,2025-01-01,400.0
349,,1200.0,1,,Susan,,1200.0
497,Phone,50.0,2,,Mary,,100.0
302,Headphones,1200.0,4,Nairobi,,2025-01-05,4800.0
181,Tablet,1200.0,5,Mombasa,Mary,2025-01-05,6000.0
607,Camera,1200.0,4,Nakuru,Brian,2025-01-05,4800.0
99,Headphones,100.0,5,,,,500.0
700,Tablet,2000.0,1,Mombasa,Susan,,2000.0
116,Tablet,150.0,1,Kisumu,,,150.0
191,Laptop,1200.0,4,,Brian,2025-01-01,4800.0
253,Camera,,3,Nakuru,Kelvin,2025-01-01,
161,Laptop,2000.0,5,Kisumu,Mary,2025-01-05,10000.0
256,Phone,500.0,2,Kisumu,Brian,Not Available,1000.0
323,Laptop,100.0,4,Nakuru,Kelvin,2025-01-05,400.0
128,,50.0,2,,,Not Available,100.0
18,Laptop,100.0,4,Nairobi,,,400.0
793,,50.0,3,Nakuru,Brian,2025-01-01,150.0
735,Headphones,100.0,3,Nakuru,Susan,Not Available,300.0
566,,50.0,3,Nakuru,,,150.0
570,Tablet,1200.0,,Kisumu,Susan,2025-01-01,
323,,150.0,3,Mombasa,Susan,Not Available,450.0
686,Camera,50.0,1,Nairobi,Susan,2025-01-05,50.0
792,Laptop,50.0,1,,James,2025-01-05,50.0
626,,,,,Kelvin,2025-01-05,
288,Camera,50.0,5,Mombasa,Kelvin,,250.0
663,,,2,Nakuru,,2025-01-05,
639,,500.0,4,Nairobi,,,2000.0
155,Laptop,1200.0,4,,Susan,2025-01-01,4800.0
490,Phone,,,,James,,
386,Laptop,150.0,1,,Susan,2025-01-05,150.0
785,Headphones,2000.0,4,Nakuru,James,2025-01-01,8000.0
104,,1200.0,1,,Susan,Not Available,1200.0
393,Tablet,,5,Mombasa,Mary,2025-01-05,
246,Phone,1200.0,2,Nairobi,Mary,2025-01-01,2400.0
176,Laptop,1200.0,5,Mombasa,Brian,,6000.0
39,Camera,1200.0,,Mombasa,Susan,Not Available,
477,Phone,500.0,3,Nairobi,,,1500.0
682,,150.0,3,Nairobi,Kelvin,2025-01-01,450.0
759,Phone,100.0,3,,Brian,,300.0
538,,100.0,5,,,2025-01-01,500.0
408,Laptop,,4,Nairobi,Mary,2025-01-01,
525,,1200.0,2,,Susan,,2400.0
506,Phone,,3,Kisumu,Brian,2025-01-01,
36,Camera,500.0,,,Susan,2025-01-05,
685,,500.0,,Kisumu,Mary,2025-01-01,
20,Phone,50.0,3,,Brian,,150.0
321,,500.0,3,Nairobi,Mary,2025-01-01,1500.0
776,,50.0,2,,James,,100.0
512,,150.0,3,,Mary,2025-01-01,450.0
400,Camera,,2,Mombasa,Susan,2025-01-01,
654,,2000.0,,Nairobi,Kelvin,,
471,Laptop,150.0,3,Nakuru,Mary,2025-01-05,450.0
143,Tablet,500.0,5,Kisumu,,2025-01-05,2500.0
92,Phone,150.0,5,,Kelvin,Not Available,750.0
354,Tablet,150.0,,Nairobi,James,,
727,,150.0,2,,Brian,,300.0
51,Camera,500.0,5,Nairobi,Brian,2025-01-05,2500.0
665,Phone,2000.0,2,,Kelvin,,4000.0
698,,1200.0,5,,Brian,2025-01-05,6000.0
575,,150.0,5,,Mary,,750.0
190,Headphones,50.0,2,,Kelvin,2025-01-01,100.0
125,,500.0,4,Nakuru,Susan,2025-01-05,2000.0
150,Tablet,150.0,5,,Mary,2025-01-05,750.0
314,Phone,2000.0,3,Nairobi,Mary,,6000.0
570,Tablet,1200.0,,,Mary,,
342,Phone,500.0,4,Mombasa,Susan,,2000.0
305,,100.0,2,,James,2025-01-05,200.0
692,Laptop,1200.0,4,,,2025-01-01,4800.0
682,,50.0,1,Nakuru,Brian,2025-01-01,50.0
783,,150.0,1,Mombasa,Kelvin,2025-01-01,150.0
54,Tablet,2000.0,5,,James,,10000.0
444,Headphones,100.0,5,,Kelvin,,500.0
613,Headphones,2000.0,3,,Brian,2025-01-05,6000.0
264,Camera,100.0,,Nairobi,Susan,Not Available,
53,Phone,500.0,4,,Mary,,2000.0
572,Tablet,100.0,1,Nairobi,Mary,Not Available,100.0
620,Camera,50.0,5,,Susan,,250.0
5,Tablet,50.0,,Kisumu,James,2025-01-01,
103,Phone,,4,Mombasa,James,,
196,,50.0,5,Kisumu,Kelvin,Not Available,250.0
774,,1200.0,5,,Susan,,6000.0
350,Headphones,100.0,1,Mombasa,James,,100.0
47,,50.0,1,Mombasa,Susan,Not Available,50.0
656,,500.0,5,Nakuru,Brian,2025-01-05,2500.0
269,Laptop,2000.0,2,Kisumu,Mary,,4000.0
370,Headphones,2000.0,5,Nakuru,Mary,2025-01-05,10000.0
636,Camera,,,Mombasa,Mary,2025-01-01,
106,,2000.0,5,Nairobi,Susan,2025-01-05,10000.0
670,Laptop,100.0,3,Mombasa,Susan,2025-01-05,300.0
659,Camera,,3,Nakuru,Kelvin,,
657,Phone,100.0,3,Kisumu,Mary,2025-01-01,300.0
120,Laptop,500.0,2,,Kelvin,2025-01-05,1000.0
787,Camera,,2,,Mary,,
604,Phone,150.0,5,Kisumu,Kelvin,Not Available,750.0
58,Headphones,1200.0,3,,Kelvin,2025-01-05,3600.0
346,,1200.0,2,,Brian,2025-01-01,2400.0
741,Phone,100.0,1,Nakuru,Kelvin,2025-01-05,100.0
474,,2000.0,5,Kisumu,Susan,Not Available,10000.0
117,Tablet,150.0,,,Kelvin,2025-01-01,
791,Phone,,4,Nairobi,Mary,,
127,Phone,150.0,5,Nairobi,Kelvin,2025-01-01,750.0
393,,150.0,4,,James,,600.0
641,Tablet,2000.0,3,Nairobi,,2025-01-01,6000.0
58,,,4,Kisumu,Mary,Not Available,
634,Camera,500.0,3,Kisumu,James,Not Available,1500.0
513,Camera,2000.0,1,Mombasa,Mary,2025-01-01,2000.0
751,Phone,150.0,4,Mombasa,Susan,2025-01-05,600.0
96,Tablet,150.0,5,Nairobi,,Not Available,750.0
638,Tablet,500.0,3,,,,1500.0
118,,150.0,5,Mombasa,Susan,,750.0
560,,150.0,2,Mombasa,,,300.0
601,Headphones,150.0,3,Kisumu,Susan,,450.0
488,Camera,1200.0,4,,James,,4800.0
237,,2000.0,3,,Brian,2025-01-01,6000.0
272,Laptop,50.0,5,Nairobi,Mary,2025-01-01,250.0
189,Camera,2000.0,1,Mombasa,Susan,2025-01-01,2000.0
704,,500.0,3,,Mary,2025-01-05,1500.0
447,Camera,150.0,4,,James,2025-01-05,600.0
581,Headphones,2000.0,2,Nairobi,Brian,,4000.0
790,Laptop,1200.0,,,James,,
247,Headphones,500.0,1,,,,500.0
76,,100.0,2,,Mary,2025-01-01,200.0
154,Laptop,2000.0,3,Mombasa,Brian,Not Available,6000.0
656,Phone,100.0,5,Nairobi,,2025-01-05,500.0
435,,150.0,5,,Brian,2025-01-05,750.0
86,Laptop,1200.0,4,,,2025-01-01,4800.0
697,,1200.0,5,Mombasa,James,2025-01-05,6000.0
285,,2000.0,1,Nairobi,Susan,2025-01-01,2000.0
220,Headphones,500.0,5,Kisumu,Mary,,2500.0
